rules,words,coeff,tag,tag2,tax_tag,old_tags
include_and,нулевой,0.8,14,1,14,1
exclude_and,октмо,0.8,14,2,14,1
include_str_p,"в ходе проведения камеральной налоговой проверки на основе Расчет сумм налога на доходы физических лиц, исчисленных и удержанных налоговым агентом (форма № 6-НДФЛ)",0.8,14,3,14,1
include_and,взнос,0.8,9,4,9,2
include_str_p,"в ходе проведения камеральной налоговой проверки на основе Расчет сумм налога на доходы физических лиц, исчисленных и удержанных налоговым агентом (форма № 6-НДФЛ)",0.8,9,5,9,2
include_or,расхождение при этом,0.8,9,6,9,2
include_and,уменьшать,0.8,13,7,13,3
include_str_p,"в ходе проведения камеральной налоговой проверки на основе Расчет сумм налога на доходы физических лиц, исчисленных и удержанных налоговым агентом (форма № 6-НДФЛ)",0.8,13,8,13,3
include_or,ранее расшифровка,0.8,13,9,13,3
exclude_or,показатель фиксированный,0.8,13,10,13,3
include_and,вычет,0.8,8,11,8,4
include_str_p,в ходе проведения камеральной налоговой проверки на основе Налоговая декларация по налогу на добавленную стоимость,0.8,8,12,8,4
include_or,расшифровка высокий завышать,0.8,8,13,8,4
include_and,прибыль,0.8,5,14,5,5
include_str_p,в ходе проведения камеральной налоговой проверки на основе Налоговая декларация по налогу на добавленную стоимость,0.8,5,15,5,5
include_and,расхождение,0.8,5,16,5,5
include_and,обложение неподлежащая взнос,0.8,10,17,10,6
include_str_p,в ходе проведения камеральной налоговой проверки на основе Расчет по страховым взносам,0.8,10,18,10,6
include_or,ндфл налогнадоход,0.8,9,19,9,7
include_str_p,в ходе проведения камеральной налоговой проверки на основе Расчет по страховым взносам,0.8,9,20,9,7
include_and,расхождение,0.8,9,21,9,7
include_and,расхождение,0.8,5,22,5,8
include_str_p,в ходе проведения камеральной налоговой проверки на основе Налоговая декларация по налогу на прибыль организаций,0.8,5,23,5,8
include_and,Декларация НДС,0.8,5,24,5,8
include_and,сравнение ндс,0.8,5,25,5,8
include_str_p,в ходе проведения камеральной налоговой проверки на основе Налоговая декларация по налогу на прибыль организаций,0.8,5,26,5,8
include_str_p,доходы от реализации по данным деклараций,0.8,5,27,5,8
include_str_p,в ходе проведения камеральной налоговой проверки на основе Налоговая декларация по налогу на прибыль организаций,0.8,5,28,5,8
include_or,лисичкивзялиспичкиморесинеезажгли 041,0.8,2,29,2,9
include_str_p,в ходе проведения камеральной налоговой проверки на основе Налоговая декларация по налогу на прибыль организаций,0.8,2,30,2,9
include_and,баланс,0.8,4,31,4,10
include_str_p,в ходе проведения камеральной налоговой проверки на основе Налоговая декларация по налогу на прибыль организаций,0.8,4,32,4,10
include_or,расхождение,0.8,4,33,4,10
include_and,форма2,0.8,4,34,4,10
include_str_p,в ходе проведения камеральной налоговой проверки на основе Налоговая декларация по налогу на прибыль организаций,0.8,4,35,4,10
include_and,убытки,0.8,6,36,6,11
include_and,расшифровка,0.8,6,37,6,11
exclude_or,амортизируемый амортизация отчет о прибылях и убытках,0.8,6,38,6,11
include_or,косвенные 040,0.8,1,39,1,12
include_str_p,в ходе проведения камеральной налоговой проверки на основе Налоговая декларация по налогу на прибыль организаций,0.8,1,40,1,12
include_and,расшифровка,0.8,1,41,1,12
include_and,внереализационный расход,0.8,3,42,3,13
include_str_p,в ходе проведения камеральной налоговой проверки на основе Налоговая декларация по налогу на прибыль организаций,0.8,3,43,3,13
include_and,расшифровка,0.8,3,44,3,13
include_and,внереализационный доход,0.8,15,45,15,14
include_str_p,в ходе проведения камеральной налоговой проверки на основе Налоговая декларация по налогу на прибыль организаций,0.8,15,46,15,14
include_and,расшифровка,0.8,15,47,15,14
